Country,Brand,Model,status,reason
Europe,MG,MG4 Urban,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,MG,S6,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,MG,S9,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Mazda,CX-6e,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Mazda,CX-90,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Mercedes-Benz,AMG PureSpeed,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Mercedes-Benz,VLE,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Mitsubishi,Grandis,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Nissan,Micra,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Nissan,Patrol,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Nissan,Serena,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Omoda,7,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Polestar,5,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,RAM,1500,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,RAM,2500,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Skoda,Peaq,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Subaru,Trailseeker,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Subaru,Uncharted,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Suzuki,e Vitara,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Tesla,Cybertruck,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Togg,T10F,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Togg,T10X,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Toyota,4Runner,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Toyota,C-HR+,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Toyota,Hilux,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Toyota,Proace Max,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Toyota,Sienna,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Toyota,Sienta,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Toyota,Urban Cruiser,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Volkswagen,ID.Cross,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Volkswagen,ID.Polo,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Volvo,ES90,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Volvo,EX60,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Xpeng,P7+,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Xpeng,X9,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Europe,Zeekr,9X,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Alpine,A390,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Cadillac,Optiq,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Cupra,Raval,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Deepal,S05,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Deepal,S07,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Dongfeng,Box,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Ferrari,849 Testarossa,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Ferrari,Amalfi,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Fiat,Qubo L,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Geely,EX5,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
Germany,Geely,Starray EM-i,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
